id;record_key;file_size;page_no;file_name;file_date;file_path;ocr_score;md_5_hash
1;best-of-breed Michigan Fantastic;72609;58289;mobile withdrawal Central;2021-11-27T03:32:02;Steel;36606;Soft
2;AI bypassing Devolved;27403;68674;Multi-layered Account iterate;2021-11-27T02:56:35;engineer;98817;vertical Niger
3;Global;65909;64829;Wooden;2021-11-27T19:38:58;Luxembourg Guinea-Bissau Port;24647;Manager Mobility
4;Unbranded interfaces;86957;19520;up;2021-11-27T15:48:01;deploy Shilling fuchsia;7768;Kenya context-sensitive
5;Alabama Auto mission-critical;20315;33778;Isle Avon Generic;2021-11-27T17:59:15;Customer connect systems;91897;Investment infomediaries
6;Down-sized target state;44172;19248;Awesome Taiwan;2021-11-27T06:46:41;District plum Savings;57874;orange Fantastic Croatia
7;Bike Lead;56557;75973;bypass Account Plastic;2021-11-27T08:02:16;Front-line;55245;Plastic
8;portal Frozen Program;57591;68169;Rustic orchestrate;2021-11-27T20:20:48;homogeneous;11145;alliance
9;dot-com Computers partnerships;4873;91723;maximize bifurcated Borders;2021-11-27T16:18:22;Heights;71601;implementation Unbranded
10;systems;66648;97174;Progressive;2021-11-27T23:41:11;RAM structure;58746;multi-byte
