id;cat;doc_num;doc_type;book;set_abbr;vol;pg;filed_date;eff_date;record_key;fips;pdf_path
1;neural purple;Incredible Towels;1080p leading-edge;FTP RSS;bi-directi;Forward La;Borders Bu;2021-11-27T00:51:59;2021-11-27T05:14:35;Oregon;Czech Beauty Re-contextualized;azure SQL plum
2;Sleek green;Producer green Pizza;deposit calculate;viral Inte;feed;Crescent I;Hat maximi;2021-11-27T08:14:41;2021-11-27T06:48:26;Fresh Alabama Object-based;Chips;orchestration Account
3;Plastic engineer;Salad;Afghani white;Cotton hyb;payment Sm;cross-plat;Hollow gol;2021-11-27T16:14:23;2021-11-27T23:33:41;Illinois;Investor Borders;Planner
4;Account;Human generating;infomediaries Ouguiya Dale;synthesize;Unions;alarm benc;installati;2021-11-27T19:02:36;2021-11-27T11:43:16;withdrawal bifurcated;compelling Garden Frozen;Practical
5;XML;Bedfordshire function feed;Jewelery Italy Arkansas;Computer;Ferry;Steel Fres;pixel pixe;2021-11-27T01:13:22;2021-11-27T22:04:00;indigo Quality;Afghanistan indexing;and solid optical
6;portals;Bedfordshire SCSI tertiary;HTTP violet;Garden;Antilles b;customized;disinterme;2021-11-27T19:46:01;2021-11-27T21:05:22;Bedfordshire open-source;application;channels Avon
7;Avenue Car;Toys Helena;Developer Car Account;Niue Tenne;Tools with;primary Ok;turn-key;2021-11-27T20:35:52;2021-11-27T19:17:41;grey Eritrea Function-based;Account;British Kentucky Montenegro
8;distributed parsing e-markets;pixel mission-critical;demand-driven killer integrate;Senior;Paradigm d;Tuna;streamline;2021-11-27T18:12:19;2021-11-27T10:53:51;white Account;compress invoice;Bhutan
9;Wooden Internal protocol;Plastic Cheese;synthesizing Automotive Kyat;system Ten;Ergonomic ;Pre-emptiv;responsive;2021-11-27T16:05:16;2021-11-27T07:32:34;cross-platform connect Trail;Liaison Games;deploy Borders
10;Borders Credit Market;state;Virginia;bluetooth ;e-business;navigating;Industrial;2021-11-27T21:07:06;2021-11-27T05:49:26;Cotton Rubber Incredible;Account Fantastic;Mexico
