id;earliest;latest;record_count;fips;county_name;state_abbr
1;2021-11-27T04:47:59;2021-11-27T13:23:05;33139;turn-;sexy;Hu
2;2021-11-27T04:39:03;2021-11-27T00:51:09;30521;Avon ;orchid up capacitor;Lo
3;2021-11-27T12:20:42;2021-11-27T10:40:28;25056;bifur;Central;ha
4;2021-11-27T07:12:41;2021-11-27T01:59:43;15268;exper;Virtual;TC
5;2021-11-27T13:49:12;2021-11-27T02:19:00;87184;verti;Account grey invoice;Ac
6;2021-11-27T09:10:53;2021-11-27T15:23:58;9772;Handm;parse;de
7;2021-11-27T18:24:29;2021-11-27T05:09:54;59803;Accou;Terrace Salvador;Ta
8;2021-11-27T03:44:06;2021-11-27T18:46:25;8290;USB;Specialist;au
9;2021-11-27T08:42:52;2021-11-27T08:24:53;37574;Pants;Down-sized eyeballs pixel;Ar
10;2021-11-27T14:12:37;2021-11-27T03:27:36;63690;SSL M;Arkansas;en
